	0
1791	12000
1792	12008
1793	12013
1794	12021
1795	12023
1796	12025
1797	12028
1798	12030
1799	12039
1800	12054
1801	12061
1802	12067
1803	12069
1804	12070
1805	12120
1806	12142
1807	12155
1808	12164
1809	12174
1810	12181
1811	12187
1812	12191
1813	12202
1814	12219
1815	12222
1816	12226
1817	12229
1818	12235
1819	12242
1820	12248
1821	12251
1822	12254
1823	12257
1824	12259
1825	12261
1826	12266
1827	12281
1828	12283
1829	12288
1830	12302
1831	12320
1832	12327
1833	12330
1834	12337
1835	12353
1836	12355
1837	12364
1838	12366
1839	12367
1840	12368
1841	12369
1842	12370
1843	12372
1844	12374
1845	12375
1846	12381
1847	12388
1848	12390
1849	12391
1850	12394
1851	12396
1852	12397
1853	12399
1854	12400
1855	12405
1856	12413
1857	12437
1858	12438
1859	12442
1860	12448
1861	12468
1862	12469
1863	12471
1864	12476
1865	12477
1866	12478
1867	12479
1868	12485
1869	12492
1870	12578
1871	12613
1872	12617
1873	12642
1874	12654
1875	12664
1876	12668
1877	12670
1878	12672
1879	12673
1880	12674
1881	12712
1882	12722
1883	12729
1884	12744
1885	12748
1886	12752
1887	12817
1888	12820
1889	12832
1890	12839
1891	12840
1892	12844
1893	12850
1894	12851
1895	12853
1896	12855
1897	12858
1898	12863
1899	12870
1900	12907
1901	12910
1902	12937
1903	12938
1904	12954
1905	12959
1906	12969
1907	12975
1908	12977
1909	12980
1910	12982
1911	13008
1912	13018
1913	13021
1914	13033
1915	13044
1916	13068
1917	13072
1918	13074
1919	13079
1920	13082
1921	13084
1922	13089
1923	13092
1924	13095
1925	13096
1926	13109
1927	13111
1928	13112
1929	13174
1930	13189
1931	13192
1932	13194
1933	13216
1934	13292
1935	13296
1936	13297
1937	13300
1938	13301
1939	13314
1940	13315
1941	13343
1942	13348
1943	13363
1944	13364
1945	13367
1946	13369
1947	13374
1948	13381
1949	13382
1950	13401
1951	13403
1952	13414
1953	13415
1954	13425
1955	13431
1956	13433
1957	13436
1958	13466
1959	13470
1960	13471
1961	13482
1962	13483
1963	13488
1964	13493
1965	13497
1966	13498
1967	13499
1968	13502
1969	13533
1970	13535
1971	13542
1972	13545
1973	13555
1974	13565
1975	13572
1976	13584
1977	13590
1978	13619
1979	13622
1980	13641
1981	13644
1982	13651
1983	13657
1984	13661
1985	13678
1986	13679
1987	13681
1988	13691
1989	13699
1990	13701
1991	13705
1992	13711
1993	13712
1994	13714
1995	13718
1996	13719
1997	13720
1998	13743
1999	13752
2000	13753
2001	13759
2002	13767
2003	13773
2004	13774
2005	13780
2006	13781
2007	13790
2008	13795
2009	13797
2010	13799
2011	13803
2012	13809
2013	13836
2014	13850
2015	13862
2016	13880
2017	13910
2018	13921
2019	13928
2020	13929
2021	13937
2022	13946
2023	13964
2024	13968
2025	13969
2026	13970
2027	13986
2028	13987
2029	13989
2030	14016
2031	14018
2032	14022
2033	14024
2034	14025
2035	14026
2036	14029
2037	14035
2038	14036
2039	14039
2040	14111
2041	14119
2042	14123
2043	14133
2044	14134
2045	14136
2046	14140
2047	14144
2048	14150
2049	14157
2050	14168
2051	14182
2052	14190
2053	14197
2054	14199
2055	14200
2056	14206
2057	14211
2058	14212
2059	14234
2060	14257
2061	14258
2062	14283
2063	14290
2064	14305
2065	14319
2066	14326
2067	14329
2068	14338
2069	14353
2070	14420
2071	14421
2072	14427
2073	14428
2074	14430
2075	14431
2076	14438
2077	14456
2078	14462
2079	14480
2080	14494
2081	14498
2082	14529
2083	14536
2084	14537
2085	14538
2086	14566
2087	14569
2088	14571
2089	14587
2090	14612
2091	14622
2092	14653
2093	14659
2094	14665
2095	14668
2096	14670
2097	14672
2098	14686
2099	14693
2100	14694
2101	14695
2102	14696
2103	14709
2104	14710
2105	14715
2106	14784
2107	14813
2108	14815
2109	14817
2110	14822
